RoarPyWaypoint(location=array([-283.79998779,  391.69998169,    0.59999996]), roll_pitch_yaw=array([ 0.        , -0.        ,  1.91985925]), lane_width=12.0)
RoarPyWaypoint(location=array([ 445.41027832, 1008.00396729,    0.        ]), roll_pitch_yaw=array([ 0.        , -0.        ,  0.35248585]), lane_width=11.999991416931152)
RoarPyWaypoint(location=array([ 447.287323  , 1008.69439697,    0.        ]), roll_pitch_yaw=array([ 0.        , -0.        ,  0.35248585]), lane_width=11.999991416931152)
RoarPyWaypoint(location=array([ 449.16436768, 1009.3848877 ,    0.        ]), roll_pitch_yaw=array([ 0.        , -0.        ,  0.35248585]), lane_width=11.999991416931152)
RoarPyWaypoint(location=array([ 451.04138184, 1010.07531738,    0.        ]), roll_pitch_yaw=array([ 0.        , -0.        ,  0.35248585]), lane_width=11.999991416931152)
RoarPyWaypoint(location=array([ 452.91842651, 1010.76580811,    0.        ]), roll_pitch_yaw=array([ 0.        , -0.        ,  0.35248585]), lane_width=11.999991416931152)
RoarPyWaypoint(location=array([ 454.79547119, 1011.45623779,    0.        ]), roll_pitch_yaw=array([ 0.        , -0.        ,  0.35248585]), lane_width=11.999991416931152)
RoarPyWaypoint(location=array([ 456.67248535, 1012.14672852,    0.        ]), roll_pitch_yaw=array([ 0.        , -0.        ,  0.35248585]), lane_width=11.999991416931152)
RoarPyWaypoint(location=array([ 458.54953003, 1012.8371582 ,    0.        ]), roll_pitch_yaw=array([ 0.        , -0.        ,  0.35248585]), lane_width=11.999991416931152)
RoarPyWaypoint(location=array([ 460.42657471, 1013.52764893,    0.        ]), roll_pitch_yaw=array([ 0.        , -0.        ,  0.35248585]), lane_width=11.999991416931152)
RoarPyWaypoint(location=array([ 462.30358887, 1014.21813965,    0.        ]), roll_pitch_yaw=array([ 0.        , -0.        ,  0.35248585]), lane_width=11.999991416931152)
RoarPyWaypoint(location=array([ 464.18063354, 1014.90856934,    0.        ]), roll_pitch_yaw=array([ 0.        , -0.        ,  0.35248585]), lane_width=11.999991416931152)
RoarPyWaypoint(location=array([ 466.05767822, 1015.59906006,    0.        ]), roll_pitch_yaw=array([ 0.        , -0.        ,  0.35248585]), lane_width=11.999991416931152)
RoarPyWaypoint(location=array([ 467.9347229 , 1016.28948975,    0.        ]), roll_pitch_yaw=array([ 0.        , -0.        ,  0.35248585]), lane_width=11.999991416931152)
RoarPyWaypoint(location=array([ 469.81173706, 1016.97998047,    0.        ]), roll_pitch_yaw=array([ 0.        , -0.        ,  0.35248585]), lane_width=11.999991416931152)
RoarPyWaypoint(location=array([ 471.68878174, 1017.67041016,    0.        ]), roll_pitch_yaw=array([ 0.        , -0.        ,  0.35248585]), lane_width=11.999991416931152)
RoarPyWaypoint(location=array([ 473.56582642, 1018.36090088,    0.        ]), roll_pitch_yaw=array([ 0.        , -0.        ,  0.35248585]), lane_width=11.999991416931152)
RoarPyWaypoint(location=array([ 475.44284058, 1019.0513916 ,    0.        ]), roll_pitch_yaw=array([ 0.        , -0.        ,  0.35248585]), lane_width=11.999991416931152)
RoarPyWaypoint(location=array([ 477.31988525, 1019.74182129,    0.        ]), roll_pitch_yaw=array([ 0.        , -0.        ,  0.35248585]), lane_width=11.999991416931152)
RoarPyWaypoint(location=array([ 479.19692993, 1020.43237305,    0.        ]), roll_pitch_yaw=array([ 0.        , -0.        ,  0.35248585]), lane_width=12.000048637390137)
RoarPyWaypoint(location=array([ 481.07394409, 1021.12280273,    0.        ]), roll_pitch_yaw=array([ 0.        , -0.        ,  0.35248585]), lane_width=12.000048637390137)
RoarPyWaypoint(location=array([ 482.95098877, 1021.81323242,    0.        ]), roll_pitch_yaw=array([ 0.        , -0.        ,  0.35248585]), lane_width=11.999991416931152)
RoarPyWaypoint(location=array([ 484.82803345, 1022.50366211,    0.        ]), roll_pitch_yaw=array([ 0.        , -0.        ,  0.35248585]), lane_width=11.999991416931152)
RoarPyWaypoint(location=array([ 486.70504761, 1023.19421387,    0.        ]), roll_pitch_yaw=array([ 0.        , -0.        ,  0.35248585]), lane_width=12.000048637390137)
RoarPyWaypoint(location=array([ 488.58209229, 1023.88464355,    0.        ]), roll_pitch_yaw=array([ 0.        , -0.        ,  0.35248585]), lane_width=12.000048637390137)
RoarPyWaypoint(location=array([ 490.45913696, 1024.57507324,    0.        ]), roll_pitch_yaw=array([ 0.        , -0.        ,  0.35248585]), lane_width=11.999991416931152)
RoarPyWaypoint(location=array([ 492.33615112, 1025.26550293,    0.        ]), roll_pitch_yaw=array([ 0.        , -0.        ,  0.35248585]), lane_width=11.999991416931152)
RoarPyWaypoint(location=array([ 494.2131958 , 1025.95605469,    0.        ]), roll_pitch_yaw=array([ 0.        , -0.        ,  0.35248585]), lane_width=11.999991416931152)
RoarPyWaypoint(location=array([ 496.09024048, 1026.64648438,    0.        ]), roll_pitch_yaw=array([ 0.        , -0.        ,  0.35248585]), lane_width=11.999991416931152)
RoarPyWaypoint(location=array([ 497.96728516, 1027.33691406,    0.        ]), roll_pitch_yaw=array([ 0.        , -0.        ,  0.35248585]), lane_width=11.999991416931152)
RoarPyWaypoint(location=array([ 499.84429932, 1028.02734375,    0.        ]), roll_pitch_yaw=array([ 0.        , -0.        ,  0.35248585]), lane_width=11.999991416931152)
RoarPyWaypoint(location=array([ 501.72134399, 1028.71789551,    0.        ]), roll_pitch_yaw=array([ 0.        , -0.        ,  0.35248585]), lane_width=11.999991416931152)
RoarPyWaypoint(location=array([ 503.59838867, 1029.4083252 ,    0.        ]), roll_pitch_yaw=array([ 0.        , -0.        ,  0.35248585]), lane_width=11.999991416931152)
RoarPyWaypoint(location=array([ 505.47540283, 1030.09875488,    0.        ]), roll_pitch_yaw=array([ 0.        , -0.        ,  0.35248585]), lane_width=11.999991416931152)
RoarPyWaypoint(location=array([ 507.35244751, 1030.78930664,    0.        ]), roll_pitch_yaw=array([ 0.        , -0.        ,  0.35248585]), lane_width=11.999991416931152)
RoarPyWaypoint(location=array([ 509.22949219, 1031.47973633,    0.        ]), roll_pitch_yaw=array([ 0.        , -0.        ,  0.35248585]), lane_width=11.999991416931152)
RoarPyWaypoint(location=array([ 511.10650635, 1032.17016602,    0.        ]), roll_pitch_yaw=array([ 0.        , -0.        ,  0.35248585]), lane_width=12.000000953674316)
RoarPyWaypoint(location=array([ 512.98352051, 1032.8605957 ,    0.        ]), roll_pitch_yaw=array([ 0.        , -0.        ,  0.35248585]), lane_width=12.000000953674316)
RoarPyWaypoint(location=array([ 514.8605957 , 1033.55114746,    0.        ]), roll_pitch_yaw=array([ 0.        , -0.        ,  0.35248585]), lane_width=12.000012397766113)
RoarPyWaypoint(location=array([ 516.73760986, 1034.24157715,    0.        ]), roll_pitch_yaw=array([ 0.        , -0.        ,  0.35248585]), lane_width=12.000012397766113)
RoarPyWaypoint(location=array([ 518.61462402, 1034.93200684,    0.        ]), roll_pitch_yaw=array([ 0.        , -0.        ,  0.35248585]), lane_width=12.000012397766113)
RoarPyWaypoint(location=array([ 520.49169922, 1035.62243652,    0.        ]), roll_pitch_yaw=array([ 0.        , -0.        ,  0.35248585]), lane_width=12.000012397766113)
RoarPyWaypoint(location=array([ 522.36871338, 1036.31298828,    0.        ]), roll_pitch_yaw=array([ 0.        , -0.        ,  0.35248585]), lane_width=12.000012397766113)
RoarPyWaypoint(location=array([ 524.24572754, 1037.00341797,    0.        ]), roll_pitch_yaw=array([ 0.        , -0.        ,  0.35248585]), lane_width=12.000012397766113)
RoarPyWaypoint(location=array([ 526.12280273, 1037.69384766,    0.        ]), roll_pitch_yaw=array([ 0.        , -0.        ,  0.35248585]), lane_width=12.000012397766113)
RoarPyWaypoint(location=array([ 527.99981689, 1038.38439941,    0.        ]), roll_pitch_yaw=array([ 0.        , -0.        ,  0.35248585]), lane_width=12.000012397766113)
RoarPyWaypoint(location=array([ 529.87683105, 1039.0748291 ,    0.        ]), roll_pitch_yaw=array([ 0.        , -0.        ,  0.35248585]), lane_width=12.000012397766113)
RoarPyWaypoint(location=array([ 531.75390625, 1039.76525879,    0.        ]), roll_pitch_yaw=array([ 0.        , -0.        ,  0.35248585]), lane_width=12.000012397766113)
RoarPyWaypoint(location=array([ 533.63092041, 1040.45568848,    0.        ]), roll_pitch_yaw=array([ 0.        , -0.        ,  0.35248585]), lane_width=12.000012397766113)
RoarPyWaypoint(location=array([ 535.50793457, 1041.14624023,    0.        ]), roll_pitch_yaw=array([ 0.        , -0.        ,  0.35248585]), lane_width=12.000012397766113)
RoarPyWaypoint(location=array([ 537.38500977, 1041.83666992,    0.        ]), roll_pitch_yaw=array([ 0.        , -0.        ,  0.35248585]), lane_width=12.000012397766113)
RoarPyWaypoint(location=array([ 539.26202393, 1042.52709961,    0.        ]), roll_pitch_yaw=array([ 0.        , -0.        ,  0.35248585]), lane_width=12.000012397766113)
RoarPyWaypoint(location=array([ 541.13903809, 1043.21765137,    0.        ]), roll_pitch_yaw=array([ 0.        , -0.        ,  0.35248585]), lane_width=12.000012397766113)
RoarPyWaypoint(location=array([ 543.01611328, 1043.90808105,    0.        ]), roll_pitch_yaw=array([ 0.        , -0.        ,  0.35248585]), lane_width=12.000012397766113)
RoarPyWaypoint(location=array([ 544.89312744, 1044.59851074,    0.        ]), roll_pitch_yaw=array([ 0.        , -0.        ,  0.35248585]), lane_width=12.000012397766113)
RoarPyWaypoint(location=array([ 546.7701416 , 1045.28894043,    0.        ]), roll_pitch_yaw=array([ 0.        , -0.        ,  0.35248585]), lane_width=12.000012397766113)
RoarPyWaypoint(location=array([ 548.6472168 , 1045.97949219,    0.        ]), roll_pitch_yaw=array([ 0.        , -0.        ,  0.35248585]), lane_width=12.000012397766113)
RoarPyWaypoint(location=array([ 550.52423096, 1046.66992188,    0.        ]), roll_pitch_yaw=array([ 0.        , -0.        ,  0.35248585]), lane_width=12.000012397766113)
RoarPyWaypoint(location=array([ 552.40124512, 1047.36035156,    0.        ]), roll_pitch_yaw=array([ 0.        , -0.        ,  0.35248585]), lane_width=12.000012397766113)
RoarPyWaypoint(location=array([ 554.27832031, 1048.05078125,    0.        ]), roll_pitch_yaw=array([ 0.        , -0.        ,  0.35248585]), lane_width=12.000012397766113)
RoarPyWaypoint(location=array([ 556.15533447, 1048.74133301,    0.        ]), roll_pitch_yaw=array([ 0.        , -0.        ,  0.35248585]), lane_width=12.000012397766113)
RoarPyWaypoint(location=array([ 558.03234863, 1049.4317627 ,    0.        ]), roll_pitch_yaw=array([ 0.        , -0.        ,  0.35248585]), lane_width=12.000012397766113)
RoarPyWaypoint(location=array([ 559.90942383, 1050.12219238,    0.        ]), roll_pitch_yaw=array([ 0.        , -0.        ,  0.35248585]), lane_width=12.000012397766113)
RoarPyWaypoint(location=array([ 561.78643799, 1050.81274414,    0.        ]), roll_pitch_yaw=array([ 0.        , -0.        ,  0.35248585]), lane_width=12.000012397766113)
RoarPyWaypoint(location=array([ 563.66345215, 1051.50317383,    0.        ]), roll_pitch_yaw=array([ 0.        , -0.        ,  0.35248585]), lane_width=12.000012397766113)
RoarPyWaypoint(location=array([ 565.54052734, 1052.19360352,    0.        ]), roll_pitch_yaw=array([ 0.        , -0.        ,  0.35248585]), lane_width=12.000012397766113)
RoarPyWaypoint(location=array([ 567.4175415, 1052.8840332,    0.       ]), roll_pitch_yaw=array([ 0.        , -0.        ,  0.35248585]), lane_width=12.000012397766113)
RoarPyWaypoint(location=array([ 569.29455566, 1053.57458496,    0.        ]), roll_pitch_yaw=array([ 0.        , -0.        ,  0.35248585]), lane_width=12.000012397766113)
RoarPyWaypoint(location=array([ 571.17163086, 1054.26501465,    0.        ]), roll_pitch_yaw=array([ 0.        , -0.        ,  0.35248585]), lane_width=12.000012397766113)
RoarPyWaypoint(location=array([ 573.04864502, 1054.95544434,    0.        ]), roll_pitch_yaw=array([ 0.        , -0.        ,  0.35248585]), lane_width=12.000012397766113)
RoarPyWaypoint(location=array([ 574.92565918, 1055.64599609,    0.        ]), roll_pitch_yaw=array([ 0.        , -0.        ,  0.35248585]), lane_width=12.000012397766113)
RoarPyWaypoint(location=array([ 576.80273438, 1056.33642578,    0.        ]), roll_pitch_yaw=array([ 0.        , -0.        ,  0.35248585]), lane_width=12.000012397766113)
RoarPyWaypoint(location=array([ 578.67974854, 1057.02685547,    0.        ]), roll_pitch_yaw=array([ 0.        , -0.        ,  0.35248585]), lane_width=12.000012397766113)
RoarPyWaypoint(location=array([ 580.5567627 , 1057.71728516,    0.        ]), roll_pitch_yaw=array([ 0.        , -0.        ,  0.35248585]), lane_width=12.000012397766113)
RoarPyWaypoint(location=array([ 582.43389893, 1058.40759277,    0.        ]), roll_pitch_yaw=array([ 0.        , -0.        ,  0.35159872]), lane_width=11.99999713897705)
RoarPyWaypoint(location=array([ 584.31292725, 1059.09265137,    0.        ]), roll_pitch_yaw=array([ 0.        , -0.        ,  0.34759871]), lane_width=11.999896049499512)
RoarPyWaypoint(location=array([ 586.19464111, 1059.77026367,    0.        ]), roll_pitch_yaw=array([ 0.        , -0.        ,  0.34359871]), lane_width=11.999985694885254)
RoarPyWaypoint(location=array([ 588.07910156, 1060.44018555,    0.        ]), roll_pitch_yaw=array([ 0.        , -0.        ,  0.33959871]), lane_width=12.00003719329834)
RoarPyWaypoint(location=array([ 589.96618652, 1061.10266113,    0.        ]), roll_pitch_yaw=array([ 0.        , -0.        ,  0.33559871]), lane_width=12.00001049041748)
RoarPyWaypoint(location=array([ 591.85595703, 1061.75756836,    0.        ]), roll_pitch_yaw=array([ 0.        , -0.        ,  0.33159871]), lane_width=11.99990463256836)
RoarPyWaypoint(location=array([ 593.74829102, 1062.40478516,    0.        ]), roll_pitch_yaw=array([ 0.        , -0.        ,  0.32759871]), lane_width=11.999991416931152)
RoarPyWaypoint(location=array([ 595.64318848, 1063.04455566,    0.        ]), roll_pitch_yaw=array([ 0.        , -0.        ,  0.32359871]), lane_width=12.000038146972656)
RoarPyWaypoint(location=array([ 597.54064941, 1063.67675781,    0.        ]), roll_pitch_yaw=array([ 0.        , -0.        ,  0.31959871]), lane_width=12.000006675720215)
RoarPyWaypoint(location=array([ 599.44067383, 1064.30126953,    0.        ]), roll_pitch_yaw=array([ 0.       , -0.       ,  0.3155987]), lane_width=11.999897003173828)
RoarPyWaypoint(location=array([ 601.34307861, 1064.91833496,    0.        ]), roll_pitch_yaw=array([ 0.       , -0.       ,  0.3115987]), lane_width=11.999979972839355)
RoarPyWaypoint(location=array([ 603.24804688, 1065.52758789,    0.        ]), roll_pitch_yaw=array([ 0.        , -0.        ,  0.30759873]), lane_width=12.000021934509277)
RoarPyWaypoint(location=array([ 605.15533447, 1066.12939453,    0.        ]), roll_pitch_yaw=array([ 0.       , -0.       ,  0.3035987]), lane_width=11.999985694885254)
RoarPyWaypoint(location=array([ 607.06506348, 1066.72351074,    0.        ]), roll_pitch_yaw=array([ 0.       , -0.       ,  0.2995987]), lane_width=12.000106811523438)
RoarPyWaypoint(location=array([ 608.97717285, 1067.30993652,    0.        ]), roll_pitch_yaw=array([ 0.       , -0.       ,  0.2955987]), lane_width=11.99995231628418)
RoarPyWaypoint(location=array([ 610.89160156, 1067.88867188,    0.        ]), roll_pitch_yaw=array([ 0.        , -0.        ,  0.29159873]), lane_width=11.99998950958252)
RoarPyWaypoint(location=array([ 612.80828857, 1068.45983887,    0.        ]), roll_pitch_yaw=array([ 0.        , -0.        ,  0.28759873]), lane_width=11.99994945526123)
RoarPyWaypoint(location=array([ 614.72729492, 1069.02331543,    0.        ]), roll_pitch_yaw=array([ 0.        , -0.        ,  0.28359869]), lane_width=12.000102043151855)
RoarPyWaypoint(location=array([ 616.64849854, 1069.57910156,    0.        ]), roll_pitch_yaw=array([ 0.        , -0.        ,  0.27959869]), lane_width=11.999943733215332)
RoarPyWaypoint(location=array([ 618.57189941, 1070.12719727,    0.        ]), roll_pitch_yaw=array([ 0.        , -0.        ,  0.27559872]), lane_width=11.999978065490723)
RoarPyWaypoint(location=array([ 620.49755859, 1070.66760254,    0.        ]), roll_pitch_yaw=array([ 0.        , -0.        ,  0.27159871]), lane_width=11.999935150146484)
RoarPyWaypoint(location=array([ 622.42529297, 1071.20031738,    0.        ]), roll_pitch_yaw=array([ 0.       , -0.       ,  0.2675987]), lane_width=12.00008487701416)
RoarPyWaypoint(location=array([ 624.35516357, 1071.72521973,    0.        ]), roll_pitch_yaw=array([ 0.        , -0.        ,  0.26359872]), lane_width=11.999956130981445)
RoarPyWaypoint(location=array([ 626.28710938, 1072.24243164,    0.        ]), roll_pitch_yaw=array([ 0.        , -0.        ,  0.25959872]), lane_width=11.99998664855957)
RoarPyWaypoint(location=array([ 628.22113037, 1072.75195312,    0.        ]), roll_pitch_yaw=array([ 0.        , -0.        ,  0.25559872]), lane_width=11.99997329711914)
RoarPyWaypoint(location=array([ 630.15716553, 1073.25378418,    0.        ]), roll_pitch_yaw=array([ 0.       , -0.       ,  0.2515987]), lane_width=11.999884605407715)
RoarPyWaypoint(location=array([ 632.09515381, 1073.74780273,    0.        ]), roll_pitch_yaw=array([ 0.        , -0.        ,  0.24759871]), lane_width=11.999988555908203)
RoarPyWaypoint(location=array([ 634.03515625, 1074.23413086,    0.        ]), roll_pitch_yaw=array([ 0.        , -0.        ,  0.24359871]), lane_width=12.00004768371582)
RoarPyWaypoint(location=array([ 635.97705078, 1074.71264648,    0.        ]), roll_pitch_yaw=array([ 0.        , -0.        ,  0.23959871]), lane_width=12.000032424926758)
RoarPyWaypoint(location=array([ 637.92089844, 1075.18334961,    0.        ]), roll_pitch_yaw=array([ 0.        , -0.        ,  0.23559871]), lane_width=11.999971389770508)
RoarPyWaypoint(location=array([ 639.86657715, 1075.64624023,    0.        ]), roll_pitch_yaw=array([ 0.        , -0.        ,  0.23159871]), lane_width=12.00007438659668)
RoarPyWaypoint(location=array([ 641.81408691, 1076.10144043,    0.        ]), roll_pitch_yaw=array([ 0.        , -0.        ,  0.22759871]), lane_width=11.999895095825195)
RoarPyWaypoint(location=array([ 643.7633667 , 1076.54882812,    0.        ]), roll_pitch_yaw=array([ 0.        , -0.        ,  0.22359872]), lane_width=11.999905586242676)
RoarPyWaypoint(location=array([ 645.71447754, 1076.98840332,    0.        ]), roll_pitch_yaw=array([ 0.        , -0.        ,  0.21959872]), lane_width=12.000082969665527)
RoarPyWaypoint(location=array([ 647.66729736, 1077.42016602,    0.        ]), roll_pitch_yaw=array([ 0.        , -0.        ,  0.21559872]), lane_width=11.99997615814209)
RoarPyWaypoint(location=array([ 649.62176514, 1077.84472656,    0.        ]), roll_pitch_yaw=array([ 0.        , -0.        ,  0.21303474]), lane_width=12.000030517578125)
RoarPyWaypoint(location=array([ 651.57653809, 1078.26757812,    0.        ]), roll_pitch_yaw=array([ 0.        , -0.        ,  0.21303474]), lane_width=12.000030517578125)
RoarPyWaypoint(location=array([ 653.53320312, 1078.68151855,    0.        ]), roll_pitch_yaw=array([ 0.        , -0.        ,  0.19539188]), lane_width=12.00007152557373)
RoarPyWaypoint(location=array([ 655.50146484, 1079.03588867,    0.        ]), roll_pitch_yaw=array([ 0.        , -0.        ,  0.16083384]), lane_width=12.000093460083008)
RoarPyWaypoint(location=array([ 6.57666809e+02,  1.07916602e+03, -7.42318299e-01]), roll_pitch_yaw=array([ 3.51862276e-07, -1.06096264e-05,  1.79178776e-01]), lane_width=12.0)
RoarPyWaypoint(location=array([ 6.59668823e+02,  1.07952893e+03, -7.42318108e-01]), roll_pitch_yaw=array([ 3.51862276e-07, -1.06096264e-05,  1.79178776e-01]), lane_width=12.0)
RoarPyWaypoint(location=array([ 6.61807251e+02,  1.07991650e+03, -7.42317994e-01]), roll_pitch_yaw=array([ 3.51862276e-07, -1.06096264e-05,  1.79178776e-01]), lane_width=12.0)
RoarPyWaypoint(location=array([ 6.63949341e+02,  1.08019934e+03, -7.42306855e-01]), roll_pitch_yaw=array([-5.08663671e-04,  2.50339499e-05,  1.27500527e-01]), lane_width=12.0)
RoarPyWaypoint(location=array([ 6.66109131e+02,  1.08041479e+03, -7.42303345e-01]), roll_pitch_yaw=array([-1.27512153e-03,  3.46899001e-05,  8.98790736e-02]), lane_width=12.0)
RoarPyWaypoint(location=array([ 6.68242432e+02,  1.08057361e+03, -7.42302468e-01]), roll_pitch_yaw=array([-1.64263750e-03,  3.51667382e-05,  6.86334105e-02]), lane_width=12.0)
RoarPyWaypoint(location=array([ 6.70363586e+02,  1.08065857e+03, -7.42316239e-01]), roll_pitch_yaw=array([ 8.34185066e-05, -4.05311562e-06,  4.79571438e-02]), lane_width=12.0)
RoarPyWaypoint(location=array([ 6.72401855e+02,  1.08068396e+03, -7.42312844e-01]), roll_pitch_yaw=array([-6.49811306e-05,  6.91413841e-06,  1.53435363e-02]), lane_width=12.0)
RoarPyWaypoint(location=array([ 6.74531616e+02,  1.08064221e+03, -7.42308991e-01]), roll_pitch_yaw=array([-3.97876202e-04,  1.76429749e-05, -2.32932324e-02]), lane_width=12.0)
RoarPyWaypoint(location=array([ 6.76630920e+02,  1.08050000e+03, -7.42306283e-01]), roll_pitch_yaw=array([-8.28775796e-04,  2.67028794e-05, -7.41727148e-02]), lane_width=12.0)
RoarPyWaypoint(location=array([ 6.78762878e+02,  1.08029895e+03, -7.42301629e-01]), roll_pitch_yaw=array([-2.00536004e-03,  3.77893440e-05, -1.03662156e-01]), lane_width=12.0)
RoarPyWaypoint(location=array([ 6.80840820e+02,  1.08003589e+03, -7.42310708e-01]), roll_pitch_yaw=array([-9.72586430e-04,  1.18017188e-05, -1.24818873e-01]), lane_width=12.0)
RoarPyWaypoint(location=array([ 6.82884888e+02,  1.07966418e+03, -7.42316353e-01]), roll_pitch_yaw=array([ 1.22310537e-05, -4.29153419e-06, -1.66702732e-01]), lane_width=12.0)
RoarPyWaypoint(location=array([ 6.84944153e+02,  1.07921436e+03, -7.42316392e-01]), roll_pitch_yaw=array([ 9.88435798e-05, -4.52995275e-06, -2.05400960e-01]), lane_width=12.0)
RoarPyWaypoint(location=array([ 6.86950317e+02,  1.07870947e+03, -7.42314408e-01]), roll_pitch_yaw=array([-1.97073900e-05,  1.66892996e-06, -2.43156311e-01]), lane_width=12.0)
RoarPyWaypoint(location=array([ 6.88941711e+02,  1.07809070e+03, -7.42313912e-01]), roll_pitch_yaw=array([ 2.18003300e-05,  3.21865064e-06, -2.94763430e-01]), lane_width=12.0)
RoarPyWaypoint(location=array([ 6.90902100e+02,  1.07741748e+03, -7.42311776e-01]), roll_pitch_yaw=array([-3.48341471e-04,  9.65595218e-06, -3.33646214e-01]), lane_width=12.0)
RoarPyWaypoint(location=array([ 6.92857971e+02,  1.07671399e+03, -7.42309449e-01]), roll_pitch_yaw=array([-1.47752151e-03,  1.49011606e-05, -3.51816197e-01]), lane_width=12.0)
RoarPyWaypoint(location=array([ 6.94753479e+02,  1.07593262e+03, -7.42300904e-01]), roll_pitch_yaw=array([-2.29724250e-03,  3.94582734e-05, -3.98847455e-01]), lane_width=12.0)
RoarPyWaypoint(location=array([ 6.96648438e+02,  1.07505432e+03, -7.42300904e-01]), roll_pitch_yaw=array([-2.10656029e-03,  3.94582734e-05, -4.38974735e-01]), lane_width=12.0)
RoarPyWaypoint(location=array([ 6.98459961e+02,  1.07413477e+03, -7.42320168e-01]), roll_pitch_yaw=array([ 1.34914653e-04, -1.57356254e-05, -4.60259983e-01]), lane_width=12.0)
RoarPyWaypoint(location=array([ 7.00280762e+02,  1.07315393e+03, -7.42319062e-01]), roll_pitch_yaw=array([ 7.47503350e-05, -1.25169750e-05, -4.88180664e-01]), lane_width=12.0)
RoarPyWaypoint(location=array([ 7.02104736e+02,  1.07215491e+03, -7.42320244e-01]), roll_pitch_yaw=array([ 7.62064911e-06, -1.65700901e-05, -5.00313260e-01]), lane_width=12.0)
RoarPyWaypoint(location=array([ 7.03907471e+02,  1.07112695e+03, -7.42312500e-01]), roll_pitch_yaw=array([-9.40095800e-04,  7.39097555e-06, -5.24690605e-01]), lane_width=12.0)
RoarPyWaypoint(location=array([ 7.05659363e+02,  1.07003040e+03, -7.42310326e-01]), roll_pitch_yaw=array([-6.40223926e-04,  1.38282768e-05, -5.63555713e-01]), lane_width=12.0)
RoarPyWaypoint(location=array([ 7.07356567e+02,  1.06884351e+03, -7.42309525e-01]), roll_pitch_yaw=array([-7.31836668e-04,  1.70469272e-05, -6.15510457e-01]), lane_width=12.0)
RoarPyWaypoint(location=array([ 7.08969177e+02,  1.06759045e+03, -7.42314904e-01]), roll_pitch_yaw=array([-5.27305855e-05, -0.00000000e+00, -6.55957549e-01]), lane_width=12.0)
RoarPyWaypoint(location=array([ 7.10530945e+02,  1.06628613e+03, -7.42312462e-01]), roll_pitch_yaw=array([-8.99615621e-04,  6.43730128e-06, -6.91159678e-01]), lane_width=12.0)
RoarPyWaypoint(location=array([ 7.12048096e+02,  1.06488171e+03, -7.42317116e-01]), roll_pitch_yaw=array([-3.35025633e-04, -7.03334744e-06, -7.34849169e-01]), lane_width=12.0)
RoarPyWaypoint(location=array([ 7.13457153e+02,  1.06343237e+03, -7.42300675e-01]), roll_pitch_yaw=array([-2.07087367e-03,  3.99351116e-05, -7.97826337e-01]), lane_width=12.0)
RoarPyWaypoint(location=array([ 7.14834900e+02,  1.06193201e+03, -7.42321503e-01]), roll_pitch_yaw=array([ 1.48856986e-04, -1.97887405e-05, -8.18623828e-01]), lane_width=12.0)
RoarPyWaypoint(location=array([ 7.16243103e+02,  1.06042798e+03, -7.42323983e-01]), roll_pitch_yaw=array([ 2.48270039e-05, -2.74181346e-05, -8.18616504e-01]), lane_width=12.0)
RoarPyWaypoint(location=array([ 7.17636841e+02,  1.05889490e+03, -7.42312958e-01]), roll_pitch_yaw=array([-1.31080776e-03,  5.36441799e-06, -8.40388046e-01]), lane_width=12.0)
RoarPyWaypoint(location=array([ 7.18995422e+02,  1.05735950e+03, -7.42322266e-01]), roll_pitch_yaw=array([ 5.44987211e-05, -2.26497633e-05, -8.44337247e-01]), lane_width=12.0)
RoarPyWaypoint(location=array([ 7.20385925e+02,  1.05579431e+03, -7.42323372e-01]), roll_pitch_yaw=array([ 8.85282133e-06, -2.55107861e-05, -8.44345903e-01]), lane_width=12.0)
RoarPyWaypoint(location=array([ 7.21771545e+02,  1.05423425e+03, -7.42322838e-01]), roll_pitch_yaw=array([ 2.23549045e-06, -2.46763213e-05, -8.44349498e-01]), lane_width=12.0)
RoarPyWaypoint(location=array([ 7.23163025e+02,  1.05266174e+03, -7.42319939e-01]), roll_pitch_yaw=array([-4.64455262e-04, -1.57356254e-05, -8.47989972e-01]), lane_width=12.0)
RoarPyWaypoint(location=array([ 7.24480042e+02,  1.05099023e+03, -7.42304337e-01]), roll_pitch_yaw=array([-1.66554082e-03,  3.08752051e-05, -9.06106739e-01]), lane_width=12.0)
RoarPyWaypoint(location=array([ 7.25663208e+02,  1.04929285e+03, -7.42296631e-01]), roll_pitch_yaw=array([-2.83466814e-03,  5.28097131e-05, -9.75161507e-01]), lane_width=12.0)
RoarPyWaypoint(location=array([ 7.26663879e+02,  1.04747815e+03, -7.42315514e-01]), roll_pitch_yaw=array([ 2.41961026e-04, -2.62260423e-06, -1.04710394e+00]), lane_width=12.0)
RoarPyWaypoint(location=array([ 7.27661987e+02,  1.04563477e+03, -7.42301972e-01]), roll_pitch_yaw=array([-2.36541916e-03,  3.68356677e-05, -1.08757154e+00]), lane_width=12.0)
RoarPyWaypoint(location=array([ 7.28592224e+02,  1.04378210e+03, -7.42320588e-01]), roll_pitch_yaw=array([ 1.16686678e-04, -1.71661368e-05, -1.09949225e+00]), lane_width=12.0)
RoarPyWaypoint(location=array([ 7.29541260e+02,  1.04191956e+03, -7.42322533e-01]), roll_pitch_yaw=array([ 1.91621401e-05, -2.30073919e-05, -1.09949498e+00]), lane_width=12.0)
